id,texts,labels,PREPROCESSED_texts,SENTIMENT_PREPROCESSED_texts,TOPIC_PREPROCESSED_texts,LANG_PREPROCESSED_texts
0,beklentimin altında bir ürün kaliteli değil,negative,beklentimin altında ürün kaliteli,negative,4,tr
1,3. kademe hız da motor titreme yapıyor.bu sebebten 3.kademe kullanımda uzun ömürlü olacağını zannetmiyorum.elide rahatsız ediyor.,negative,kademe hız motor titreme yapıyordu sebepten kademe kullanımda uzun ömürlü olacağını zannetmiyorumelide rahatsız,negative,0,tr
2,başlığı sabit durmuyor. arka koruma demiri üfleme hızını 2.sewiye yapınca yüksek ses cikariyor,negative,başlığı sabit duruyor arka koruma demiri üfleme hızını seviye yapınca yüksek ses çıkarmıyor,negative,1,tr
3,ürün gayet kalitesiz öğrenci evinde aldığımız 20 tl lil fön makinası ile aynı hiç farkı yok nerdeyse tek fark üzerinde arzum yazması o kadar.,negative,ürün gayet kalitesiz öğrenci evinde aldığımız tl lil fön makinası aynı farkı yok neredeyse tek fark üzerinde arzum yazması,negative,0,tr
4,yuksek hizda kullanirken titredim yaptigi icin eli rahatsiz ediyor,negative,yüksek hızda kullanırken titredim yaptığı için eli rahatsız,negative,2,tr
5,ürünün rengi parlak siyah gösterilirken gelen ürün mat siyah ve adi bir plastik gibi duruyor.,negative,ürünün rengi parlak siyah gösterilirken gelen ürün mat siyah adi plastik duruyor,negative,0,tr
6,çok kalitesiz.,negative,kalitesiz,negative,1,tr
7,bi makinadan ancak bu kadar ses çıkabilir. ağaç motoru daha az ses çıkartır.,negative,bir makinadan ses çıkabilir ağaç motoru ses çıkartır,negative,2,tr
8,bu ürünü kızıma aldım kendisi öğrencidir. sadece iki gün sonra fişe takılıyken bozulduğunu söyledi. şahsen üzüldüm. böyle bir ihtimal olduğunu bilesiniz diye yazıyorum.,negative,ürünü kızıma aldım ögrencidir sadece gün fişe takılıyken bozulduğunu söyledi şahsen üzüldüm ihtimal bileşin yazıyorum,negative,4,tr
9,sesi cok gucu az kurutmasi zayif ergonomik degil vasatin altinda bi ürün,negative,sesi çok gücü kurutması zayıf ergonomik değil vasatın altında bir ürün,negative,0,tr
10,beklediğimden berbat çıktı arkadaşlar gücü yine vasat bundan daha fazlalarına bakın derim ,negative,beklediğimden berbat çıktı arkadaşlar gücü vasat fazlalarına bakın derim,negative,1,tr
11,aldığım ilk günden beri 1. kademede kullandım ilk defa 2. kademe de kullanayım dedim dumanlar cıktı. çok kötü basarısız ve dayanıksız bir ürün,negative,aldığım ilk günden kademede kullandım ilk kademe kullanayım dedim dumanlar çıktı kötü başarısız dayanıksız ürün,negative,1,tr
12,"ilk kullanımda yandı. sadece 1,5 dakika kadar kullanamadım. üflemesi çok zayıf. iğrenç bir plastik kokusu var. şu anda makineyi fişe taktığımda gürültülü tiz bir ses geliyor ama üfleme hiç yok ve de alev alacakmış gibi ısınıyor. acaba ürünlerden en kötüsü bana mı denk geldi.",negative,ilk kullanımda yandı sadece dakika kullanamadım üflemesi zayıf iğrenç plastik kokusu anda makineyi fişe taktığımda gürültülü tiz ses geliyor üfleme yok alev alacakmış ısınıyor ürünlerden kötüsü denk geldi,negative,1,tr
13,arka kapağı tam oturmuyor ve çalışırken titreşip gürültü yapıyor.,negative,arka kapağı oturmuyor çalışırken titreşip gürültü,negative,1,tr
14,verdiğim paraya yazık i̇yi göründüğüne bakmayın almayın...,negative,verdiğim paraya yazık iyi göründüğüne bakmayın almayın,negative,2,tr
15,çok gürültülü çalışıyor. ayrıca üfleme gücü yetersiz. isı ayarı arasında neredeyse fark yok gibi. otellerde ki saç kurutma makineleri performansında,negative,gürültülü çalışıyor üfleme gücü yetersiz ısı ayarı arasında neredeyse fark yok otellerde saç kurutma makineleri performansında,negative,3,tr
16,ürünü aldım iki günde teslim edildi ama makine çok sesli çalışıyor.,negative,ürünü aldım günde teslim edildi makine sesli çalışıyor,negative,0,tr
17,en yüksek hıza aldığımda arkasındaki filtrenin titreşiminden dolayı cızırtılı bir gürültü oluyor. çok rahatsız edici. ayrıca ürün malzeme kalitesi de hiç güzel değil. i̇ade ettim. sıradan bir makine,negative,yüksek hıza aldığımda arkasındaki filtrenin titreşiminden cızırtılı gürültü rahatsız edici ürün malzeme kalitesi güzel ifade ettim sıradan makine,negative,2,tr
18,makine aşırı yüksek sesli ve verdigi hava yetersiz,negative,makine aşırı yüksek sesle verdiği hava yetersiz,negative,2,tr
19,ürün performansı fiyatına göre oldukça iyi. malzemesi de kaliteli. ,negative,ürün performansı fiyatına oldukça iyi malzemesi kaliteli,negative,1,tr
20,ancak ionic özelliği yani elektriklenmeyi engelleme özelliği sıfır. ya üründe yok ya da bana satılan üründe koymayı unutmuşlar. gerçekten inanılmaz şekilde elektrikleniyor kurutma sonunda.,negative,Sonic özelliği elektriklenmeyi engelleme özelliği sıfır üründe yok satılan üründe koymayı unutmuşlar gerçekten inanılmaz elektrikleniyor kurutma sonunda,negative,3,tr
21,arzum markasına güvenerek aldım fakat fön çekerken oldukça işlevsiz makine kendini kapatıyor anca soğuyunca tekrar çalışmaya başlıyor. tavsiye etmem.,negative,arzum markasına güvenerek aldım fon çekerken oldukça işlevsiz makine kapatıyor anca soğuyunca tekrar çalışmaya başlıyor tavsiye etmem,negative,4,tr
22,plastik malzemesi kaliteli değil. çıkan sese kıyasla üflediği hava az. bu fiyata bu kadar..,negative,plastik malzemesi kaliteli çıkan sese kıyasla üflediği hava fiyata,negative,4,tr
23,hepsi burada vok hizli gonderi fakat arzumun kalitesi hic iyi değil ,negative,vok hızlı gönderi arzumun kalitesi hiç iyi,positive,2,tr
24,"prima eski kalitesinden taviz vermeye başladı. eskiden hiç sızma görmezdik şimdi 5 numara büyük bez olmasına rağmen bezde sızma oluyor, çocuk 3 yaşında tabi idrarda artma oluyor ama bez de büyük. ürün kalitesi hoşuma gitmedi ve şüphelendirdi şahsen beni...",negative,prima eski kalitesinden taviz vermeye başladı eskiden sızma görmezdik numara büyük bez olmasına bezde sızma çocuk yaşında tabi idrarda artma bez büyük ürün kalitesi hoşuma gitmedi şüphelendirdi şahsen,negative,3,tr
