id,texts,labels,PREPROCESSED_texts
0,beklentimin altında bir ürün kaliteli değil,negative,beklentimin altında bir ürün kaliteli değil
1,3. kademe hız da motor titreme yapıyor.bu sebebten 3.kademe kullanımda uzun ömürlü olacağını zannetmiyorum.elide rahatsız ediyor.,negative,3. kademe hız da motor titreme yapıyor . bu sebepten 3. kademe kullanımda uzun ömürlü olacağını zannetmiyorum . eli de rahatsız ediyor .
2,başlığı sabit durmuyor. arka koruma demiri üfleme hızını 2.sewiye yapınca yüksek ses cikariyor,negative,başlığı sabit duruyor . arka koruma demiri üfleme hızını 2. seviye yapınca yüksek ses çıkarmıyor
3,ürün gayet kalitesiz öğrenci evinde aldığımız 20 tl lil fön makinası ile aynı hiç farkı yok nerdeyse tek fark üzerinde arzum yazması o kadar.,negative,ürün gayet kalitesiz öğrenci evinde aldığımız 20 tl lil fön makinası ile aynı hiç farkı yok neredeyse tek fark üzerinde arzum yazması o kadar .
4,yuksek hizda kullanirken titredim yaptigi icin eli rahatsiz ediyor,negative,yüksek hızda kullanırken titredim yaptığı için eli rahatsız ediyor
5,ürünün rengi parlak siyah gösterilirken gelen ürün mat siyah ve adi bir plastik gibi duruyor.,negative,ürünün rengi parlak siyah gösterilirken gelen ürün mat siyah ve adi bir plastik gibi duruyor .
6,çok kalitesiz.,negative,çok kalitesiz .
7,bi makinadan ancak bu kadar ses çıkabilir. ağaç motoru daha az ses çıkartır.,negative,bir makinadan ancak bu kadar ses çıkabilir . ağaç motoru daha az ses çıkartır .
8,bu ürünü kızıma aldım kendisi öğrencidir. sadece iki gün sonra fişe takılıyken bozulduğunu söyledi. şahsen üzüldüm. böyle bir ihtimal olduğunu bilesiniz diye yazıyorum.,negative,bu ürünü kızıma aldım kendi öğrencidir . sadece iki gün sonra fişe takılıyken bozulduğunu söyledi . şahsen üzüldüm . böyle bir ihtimal olduğunu bilesiniz diye yazıyorum .
9,sesi cok gucu az kurutmasi zayif ergonomik degil vasatin altinda bi ürün,negative,sesi çok gücü az kurutması zayıf ergonomik değil vasatın altında bir ürün
