id,texts,labels,PREPROCESSED_texts,TOPIC_PREPROCESSED_texts,KEYWORDS_PREPROCESSED_texts,KEYWORDS_texts
0,beklentimin altında bir ürün kaliteli değil,negative,beklentimin altında bir ürün kaliteli değil,38,"[('ürün kaliteli değil', 9.0), ('beklentimin altında', 4.0)]","[('ürün kaliteli değil', 9.0), ('beklentimin altında', 4.0)]"
1,3. kademe hız da motor titreme yapıyor.bu sebebten 3.kademe kullanımda uzun ömürlü olacağını zannetmiyorum.elide rahatsız ediyor.,negative,kademe hız da motor titreme yapıyordu sebepten kademe kullanımda uzun ömürlü olacağını zannetmiyorumelide rahatsız ediyor,43,"[('kademe hız', 4.0)]","[('motor titreme yapıyor', 9.0), ('elide rahatsız ediyor', 9.0), ('kademe hız', 4.0), ('sebebten 3', 1.0)]"
2,başlığı sabit durmuyor. arka koruma demiri üfleme hızını 2.sewiye yapınca yüksek ses cikariyor,negative,başlığı sabit duruyor arka koruma demiri üfleme hızını seviye yapınca yüksek ses çıkarmıyor,42,[],"[('başlığı sabit durmuyor', 9.0)]"
3,ürün gayet kalitesiz öğrenci evinde aldığımız 20 tl lil fön makinası ile aynı hiç farkı yok nerdeyse tek fark üzerinde arzum yazması o kadar.,negative,ürün gayet kalitesiz öğrenci evinde aldığımız tl lil fön makinası ile aynı hiç farkı yok neredeyse tek fark üzerinde arzum yazması o kadar,13,"[('aynı', 1.0)]","[('aynı', 1.0)]"
4,yuksek hizda kullanirken titredim yaptigi icin eli rahatsiz ediyor,negative,yüksek hızda kullanırken titredim yaptığı için eli rahatsız ediyor,4,"[('eli rahatsız ediyor', 9.0)]",[]
5,ürünün rengi parlak siyah gösterilirken gelen ürün mat siyah ve adi bir plastik gibi duruyor.,negative,ürünün rengi parlak siyah gösterilirken gelen ürün mat siyah ve adi bir plastik gibi duruyor,23,"[('adi', 1.0), ('plastik', 1.0), ('duruyor', 1.0)]","[('adi', 1.0), ('plastik', 1.0), ('duruyor', 1.0)]"
6,çok kalitesiz.,negative,çok kalitesiz,42,"[('kalitesiz', 1.0)]","[('kalitesiz', 1.0)]"
7,bi makinadan ancak bu kadar ses çıkabilir. ağaç motoru daha az ses çıkartır.,negative,bir makinadan ancak bu kadar ses çıkabilir ağaç motoru daha az ses çıkartır,23,"[('az ses çıkartır', 9.0), ('makinadan ancak', 4.0)]","[('bi makinadan ancak', 9.0), ('kadar ses çıkabilir', 9.0), ('az ses çıkartır', 9.0), ('ağaç motoru', 4.0)]"
8,bu ürünü kızıma aldım kendisi öğrencidir. sadece iki gün sonra fişe takılıyken bozulduğunu söyledi. şahsen üzüldüm. böyle bir ihtimal olduğunu bilesiniz diye yazıyorum.,negative,bu ürünü kızıma aldım kendi ögrencidir sadece iki gün sonra fişe takılıyken bozulduğunu söyledi şahsen üzüldüm böyle bir ihtimal olduğunu bilesiniz diye yazıyorum,6,"[('ihtimal olduğunu bilesiniz', 9.0), ('yazıyorum', 1.0)]","[('ihtimal olduğunu bilesiniz', 9.0), ('şahsen üzüldüm', 4.0), ('sadece', 1.0), ('böyle', 1.0), ('yazıyorum', 1.0)]"
9,sesi cok gucu az kurutmasi zayif ergonomik degil vasatin altinda bi ürün,negative,sesi çok gücü az kurutması zayıf ergonomik değil vasatın altında bir ürün,9,"[('sesi', 1.0), ('ürün', 1.0)]",[]
10,beklediğimden berbat çıktı arkadaşlar gücü yine vasat bundan daha fazlalarına bakın derim ,negative,beklediğimden berbat çıktı arkadaşlar gücü yine vasat bundan daha fazlalarına bakın derim,28,"[('fazlalarına bakın derim', 9.0)]","[('fazlalarına bakın derim', 9.0)]"
11,aldığım ilk günden beri 1. kademede kullandım ilk defa 2. kademe de kullanayım dedim dumanlar cıktı. çok kötü basarısız ve dayanıksız bir ürün,negative,aldığım ilk günden beri kademede kullandım ilk defa kademe de kullanayım dedim dumanlar çıktı çok kötü başarısız ve dayanıksız bir ürün,36,"[('kötü başarısız', 4.0), ('kademe', 1.0), ('dayanıksız', 1.0), ('ürün', 1.0)]","[('kademede kullandım ilk', 9.0), ('kötü basarısız', 4.0), ('kademe', 1.0), ('dayanıksız', 1.0), ('ürün', 1.0)]"
12,"ilk kullanımda yandı. sadece 1,5 dakika kadar kullanamadım. üflemesi çok zayıf. iğrenç bir plastik kokusu var. şu anda makineyi fişe taktığımda gürültülü tiz bir ses geliyor ama üfleme hiç yok ve de alev alacakmış gibi ısınıyor. acaba ürünlerden en kötüsü bana mı denk geldi.",negative,ilk kullanımda yandı sadece dakika kadar kullanamadım üflemesi çok zayıf iğrenç bir plastik kokusu var şu anda makineyi fişe taktığımda gürültülü tiz bir ses geliyor ama üfleme hiç yok ve de alev alacakmış gibi ısınıyor acaba ürünlerden en kötüsü bana mı denk geldi,27,"[('mı denk geldi', 9.0), ('zayıf iğrenç', 4.0), ('ses geliyor', 4.0), ('alev alacakmış', 4.0), ('üfleme', 1.0), ('yok', 1.0), ('ısınıyor', 1.0), ('ürünlerden', 1.0), ('kötüsü', 1.0)]","[('ilk kullanımda yandı', 9.0), ('plastik kokusu var', 9.0), ('mı denk geldi', 9.0), ('ses geliyor', 4.0), ('alev alacakmış', 4.0), ('sadece 1', 1.0), ('üflemesi', 1.0), ('zayıf', 1.0), ('iğrenç', 1.0), ('üfleme', 1.0)]"
