text,sentiment
"selam bebek ben mike bebek","positive"
"berbat kargolama hiç beğenmedim","negative"
"bugüne kadar aldığım en sorunsuz ürün","positive"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
"neden bu kadar geç geldi","negative"
