tweet_text,PREPROCESSED_tweet_text,SENTIMENT_PREPROCESSED_tweet_text,TOPIC_PREPROCESSED_tweet_text,LANG_PREPROCESSED_tweet_text
@YasarAcarFenLis Çünkü Mehmet Çobankent var, mehmet çobankent,negative,4,bs
"Next, next, next olmadan paket mi kurulur, windoz neler yapıyor böyle https://t.co/bQalVclJ7v","next, next, next olmadan paket kurulur, windoz neler ",positive,3,ku
ARGE'nin duvarlarının dili olsa da konuşsa... @enscngvn https://t.co/AYD0LHonJN,arge'nin duvarlarının dili konuşsa...  ,positive,2,tr
@mschoening Approving pull request with Tinder-like swipe UI, approving pull request with tinder-like swipe ui,positive,4,en
@ProfDemirtas Simetrik İnternet seçeneklerini değerlendirebilirsiniz. Upload ve download hızının birbirine neredeyse eşit., simetrik i̇nternet seçeneklerini değerlendirebilirsiniz. upload download hızının birbirine neredeyse eşit.,negative,1,tr
"@CoderBora Hi
None"," hi
none",negative,0,it
@enscngvn Gurur duyulur., gurur duyulur.,positive,3,az
"RT @SSDergilik: • SSB, Türkiye Siber Güvenlik Kümelenmesi (@siberkume) ve Siber Kulüpler Birliği (@SiberKulupler) tarafından düzenlenen, Ba…","rt  • ssb, türkiye siber güvenlik kümelenmesi ( siber kulüpler birliği ( düzenlenen, ba…",positive,3,tr
Pandas artık stabil versiyonda. Gönül rahatlığıyla prod ortamlarınızda kullanabilirsiniz. https://t.co/iPIatHtwHV,pandas stabil versiyonda. gönül rahatlığıyla prod ortamlarınızda kullanabilirsiniz. ,negative,1,tr
"""Tıbbi yapay zekayı dışardan satın alamazsınız"" kongrenin en etkileyici cümlelerindendi. Teşekkürler @drmelihbulutgm1 hocam.","""tıbbi yapay zekayı dışardan satın alamazsınız"" kongrenin etkileyici cümlelerindendi. teşekkürler  hocam.",positive,2,tr
Yaşasın Samsung kazanmışım. Hem de es sekiz. (Adımı nereden buldunuz Allahsızlar😂) https://t.co/7QLXuR0BOR,yaşasın samsung kazanmışım. es sekiz. (adımı nereden buldunuz allahsızlar) ,positive,4,tr
@Mudemrtas Haklı., haklı.,positive,3,tr
25 Kasım'da vermiş olduğum siparişi 12 Aralık olmasına rağmen ulaştıramıyorsanız adınızdaki jet niçin var ? @hepsijet @hepsiburada,kasım'da vermiş olduğum siparişi  aralık olmasına ulaştıramıyorsanız adınızdaki jet ?  ,negative,1,tr
@tunix Boostnote, boostnote,positive,1,sl
@sdogruyol What's your main motivation for switching to Windows ?, what's your main motivation for switching to windows ?,positive,1,en
"Sevgili ölücüler, Shodan 49 dolardan 1 dolara düştü. Saldırın ... https://t.co/JlkVK1b9e6","sevgili ölücüler, shodan  dolardan  dolara düştü. saldırın ... ",negative,2,tr
#STMCTF19 offline aşamadaki sorular hakkında düşüncelerimi paylaştım. https://t.co/4SCnvamxN0 #Writeup, offline aşamadaki sorular hakkında düşüncelerimi paylaştım.  ,negative,2,tr
@enscngvn @heersli Gardaş sen Sivas'ın neresindensin ?,  gardaş sivas'ın neresindensin ?,negative,2,tr
@tkobalas @Th3Gundy @mserdark Teşekkürler Tarık abi,   teşekkürler tarık abi,positive,1,tr
"RT @Th3Gundy: Son dakikasına kadar çekişmeli geçen #STMCTF'i 3.lük ile bitirdik.
Takım arkadaşlarımı @tolgaakkapulu @btahtaci @Burakcarikci…","rt  son dakikasına çekişmeli geçen  .lük bitirdik.
takım arkadaşlarımı   ",positive,0,tr
Mükemmel geçen bir #STMCTF19 ardından... #CTZer0 @Th3Gundy @mserdark https://t.co/llRBX4KzBL,mükemmel geçen  ardından...    ,positive,3,tr
RT @StmCTF: #STMCTF2019’da üçüncülüğün sahibi olan ct-zero takımı ödüllerini STM Genel Müdür Yardımcımız Sn. Ömer Korkut’dan aldı. Tebrikle…,rt   üçüncülüğün sahibi ct-zero takımı ödüllerini stm genel müdür yardımcımız sn. ömer korkut’dan aldı. tebrikle…,positive,0,tr
"RT @fchollet: Are you a deep learning researcher? Wondering if all this TensorFlow 2.0 stuff you heard about is relevant to you?

This thre…","rt  are you deep learning researcher? wondering if all this tensorflow . stuff you heard about is relevant to you?

this thre…",positive,2,en
@awscloud What a poor quality screenshot and it's not relevant to SageMaker..., what poor quality screenshot and it's not relevant to sagemaker...,positive,4,en
@AnkaraGophers @ilkbyte Debian kurmak istiyorum,  debian kurmak istiyorum,positive,4,tr
"RT @crypttech: Siber Küme Yaz Kampı'nda ArGe Mühendisimiz Burak Tahtacı ""Yapay Zeka ve Uygulamaları"" eğitiminde katılımcılarla, android zar…","rt  siber küme yaz kampı'nda arge mühendisimiz burak tahtacı ""yapay zeka uygulamaları"" eğitiminde katılımcılarla, android zar…",negative,0,tr
"RT @SiberKulupler: Siber Küme Yaz Kampı'nda Burak Tahtacı, ""Yapay Zeka ve Uygulamaları"" eğitimiyle bizlerle olacaktır.
Detaylar: https://t.…","rt  siber küme yaz kampı'nda burak tahtacı, ""yapay zeka uygulamaları"" eğitimiyle bizlerle olacaktır.
detaylar: ",positive,1,tr
DJI Mavic Pro ile Kamiloba https://t.co/nXXeHSeE0t via @YouTube,dji mavic pro kamiloba  via ,positive,4,la
Fazla ince espri... https://t.co/B9r7ult8rm,fazla ince espri... ,negative,0,ro
"""Elimde veri var hangi algoritmayla ne yapabilirim ?"" sorusunu çok güzel özetleyen bir tablo. https://t.co/h484e2nCbT","""elimde veri algoritmayla yapabilirim ?"" sorusunu güzel özetleyen tablo. ",positive,0,tr
