tweet_text,PREPROCESSED_tweet_text,SENTIMENT_PREPROCESSED_tweet_text,LANG_PREPROCESSED_tweet_text,TOPIC_PREPROCESSED_tweet_text
Türkiye'nin İLK ve TEK ileri seviye (A) Zafiyet Yönetimi sertifikası almaya hak kazanan UNITMON ürünümüzün TRTEST Ü… https://t.co/USaejkKDMv,türkiye'nin i̇lk ve tek ileri seviye (a) zafiyet yönetimi sertifikası almaya hak kazanan unitmon ürünümüzün trtest ü… ,positive,tr,8
"Türkiye'nin İLK ve TEK ileri seviye (A) Zafiyet Yönetimi sertifikasına sahip ürünümüz UNITMON, Tr-Test Ürün Uygunlu… https://t.co/yDW6QylK9F","türkiye'nin i̇lk ve tek ileri seviye (a) zafiyet yönetimi sertifikasına sahip ürünümüz unitmon, tr-test ürün uygunlu… ",positive,tr,8
15 Temmuz Demokrasi ve Birlik Günü Şehitlerimizi saygı ve minnet ile anıyoruz. #15Temmuz #15TemmuzMilliBirlikGünü https://t.co/xvPVEyFLaY,15 temmuz demokrasi ve birlik günü şehitlerimizi saygı ve minnet ile anıyoruz.   ,negative,tr,6
Key Concepts in Reinforcement Learning #artificialintelligence #crypttechailab #machinelearning… https://t.co/nmlBbfkN0S,key concepts in reinforcement learning    ,positive,km,2
Pekiştirmeli Öğrenmede Temel Konseptler #yapayzeka #crypttechailab #makineöğrenmesi #pekiştirmeliöğrenme… https://t.co/uFhTEjB9PU,pekiştirmeli öğrenmede temel konseptler     ,positive,tr,2
1 Temmuz Denizcilik ve Kabotaj Bayramı kutlu olsun. #KabotajBayramı #1TemmuzDenizcilikveKabotajBayramıkutluolsun… https://t.co/Xb3jcLAw6E,1 temmuz denizcilik ve kabotaj bayramı kutlu olsun.   ,positive,tr,6
Babalar Gününüz kutlu olsun. #BabalarGünüKutluOlsun #BabalarGünü #happyfathersdays https://t.co/buoYTZXnFM,babalar gününüz kutlu olsun.    ,positive,tr,6
Jandarma Teşkilatı’nın Kuruluş Yıl Dönümü kutlu olsun. #Jandarma #Jandarma181yasında https://t.co/VGnLS5IemD,jandarma teşkilatı’nın kuruluş yıl dönümü kutlu olsun.   ,positive,tr,6
Ramazan Bayramınız kutlu olsun... #RamazanBayramı #MutluBayramlar #RamazanBayramıkutluolsun https://t.co/d5cKS2l7Jk,ramazan bayramınız kutlu olsun...    ,positive,tr,6
“Siber Güvenlikte Yapay Zeka” eğitimimizde duyurduğunuz açık kaynak olarak başlatılan proje formu:… https://t.co/182PZuKRzB,“siber güvenlikte yapay zeka” eğitimimizde duyurduğunuz açık kaynak olarak başlatılan proje formu:… ,negative,tr,9
"Online ""Siber Güvenlikte Yapay Zeka"" eğitimimiz bugün saat:14:00'te @siberkume YouTube Kanalında.
Davranış Analizi… https://t.co/3UsfUmeZtG","online ""siber güvenlikte yapay zeka"" eğitimimiz bugün saat:14:00'te  youtube kanalında.
davranış analizi… ",positive,tr,1
"Siberküme Online Eğitim Programları kapsamında ArGe Takım Liderimiz M.Yasin SAĞLAM'ın vereceği ""Siber Güvenlikte Ya… https://t.co/AyoWdIxP6g","siberküme online eğitim programları kapsamında arge takım liderimiz m.yasin sağlam'ın vereceği ""siber güvenlikte ya… ",negative,tr,8
"Online SIEM Eğitimimiz bugün saat:14:00'te Türkiye Siber Güvenlik Kümelenmesi Youtube Kanalında. 

Canlı yayını kaç… https://t.co/LUpBd2oZDl","online siem eğitimimiz bugün saat:14:00'te türkiye siber güvenlik kümelenmesi youtube kanalında. 

canlı yayını kaç… ",positive,tr,1
"19 Mayıs Atatürk’ü Anma, Gençlik ve Spor Bayramımız Kutlu Olsun...
#19Mayıs1919 #19mayıs #samsunaçıkış… https://t.co/j40DqPtZnz","19 mayıs atatürk’ü anma, gençlik ve spor bayramımız kutlu olsun...
   ",positive,tr,9
"Siberküme Online Eğitim Programları kapsamında, #crypttechacademy eğitmenlerimizden Safa Üçüncüoğlu'nun vereceği ""S… https://t.co/mZy0wAxoSl","siberküme online eğitim programları kapsamında,  eğitmenlerimizden safa üçüncüoğlu'nun vereceği ""s… ",positive,tr,8
Anneler Gününüz kutlu olsun. #annelergünü #mothersday https://t.co/iK4koPIO4a,anneler gününüz kutlu olsun.   ,positive,tr,6
23 Nisan Ulusal Egemenlik ve Çocuk Bayramımızın 100.yılı kutlu olsun. #23NisanUlusalEgemenlikveCocukBayramı… https://t.co/pTrLl7s5hA,23 nisan ulusal egemenlik ve çocuk bayramımızın 100.yılı kutlu olsun.  ,positive,tr,6
Tanıtım filmimizi @siberkume YouTube kanalından da izleyebilirsiniz. #sibergüvenlik #CyberSecurity #yapayzeka… https://t.co/740jeWcUJk,tanıtım filmimizi  youtube kanalından da izleyebilirsiniz.    ,positive,tr,6
#18Mart  #ÇanakkaleGeçilmez #ÇanakkaleZaferi #ÇanakkaleDestanı https://t.co/OSEWh6emi8,     ,positive,unk,0
#dünyapigünü #piday2020 #14mart #march14 https://t.co/CQikm8faJx,    ,positive,unk,0
8 Mart Dünya Kadınlar Günü kutlu olsun. #dünyakadınlargünü #internationalwomensday2020 https://t.co/PN9OxYTOSG,8 mart dünya kadınlar günü kutlu olsun.   ,positive,tr,6
